score	attr_overlap	states_safe_id	states_title	states_attrib_paper	studies_paper	studies_year	paper_contribution
79	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Proves the conjecture for digraphs with chromatic number at most 6 or dichromatic number at most 3; proves the stronger majority 3-choosability for digraphs with $\Delta^+(D) \leq 4$ or $\Delta(D) \le
78	aboulker,adler,kim,sintiari,trotignon	2008.05504	Conjecture 3	2008.05504	2108.01162	2023	Proves three theorems supporting the conjecture: (1) every $S_{t,t,t}$-free graph of maximum degree at most $\Delta$ and sufficiently large treewidth contains the line graph of a subdivision of $W_{k\
78	dvorak,norin,postle	1612.08698	Problem 1	1612.08698	1902.02971	2019	Proves part (b) in the affirmative: there exists $\varepsilon > 0$ such that every triangle-free planar graph with an assignment of lists of size four is weighted $\varepsilon$-flexible.
78	dvorak,norin,postle	1612.08698	Problem 1	1612.08698	1902.04069	2019	Proves Theorem 2: there exists $\varepsilon > 0$ such that every planar graph of girth at least six with lists of size three is weighted $\varepsilon$-flexible, resolving part (c) for girth $\geq 6$ a
78	harutyunyan,le,thomasse,wu	1702.01607	Problem 4	1702.01607	2310.04265	2023	The paper introduces Conjecture 5.3 (large dom implies an $\operatorname{\overrightarrow{\omega}}$-cluster) as an intermediate conjecture between Theorem 5.1 and Conjecture 5.2, and establishes implic
77	dvorak	1302.2158	Conjecture 1.7	1302.2158	1809.05439	2018	Proves Conjecture 2 for planar graphs of girth at least five with maximum degree at most $\Delta$: such graphs are $(6M_\Delta : 2M_\Delta+1)$-colorable and thus have fractional chromatic number at mo
76	chudnovsky	2203.06775	Conjecture 1.6	2203.06775	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
76	devos	1806.00825	Conjecture 12	1806.00825	2101.04716	2021	Proves Conjecture 1.2 in the case where every color class has size at least $301k \log k$, i.e., when the color class size is $\Omega(k \log k)$.
76	dvorak	1302.2158	Conjecture 1.7	1302.2158	1805.11507	2019	Proves that the class of minimal obstructions of girth at least five to list $(3a:a)$-colorability is strongly hyperbolic (Theorem 5), which is stated as a key step in a forthcoming proof that the con
75	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.09888	2020	The paper fully resolves the conjecture: Theorem 7 proves $\mathrm{mader}_{\vec{\chi}}(F)=v(F)$ for every octus digraph $F$, and Corollary 8 specialises this to every orientation of a cactus graph, wh
75	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Shows $K \leq 3.9602$ (Theorem 6) via a probabilistic coloring with deterministic alteration; also shows that every digraph $D$ with $\delta^+(D) \geq C(1/\varepsilon)^2 \ln(2/\varepsilon)$ has a frac
75	aboulker,charbit	1605.07411	Conjecture 5	1605.07411	2202.01006	2022	Paper recalls the conjecture as broader context without making direct progress on it.
73	alon,hefetz,krivelevich,tyomkyn	1805.06848	Conjecture 1.2 (The Large Inducibility Conjecture)	1805.06848	1809.01352	2020	Proves the conjecture for the sublinear range $1 \leq \ell < k/r$ via Theorem 1.4, establishing $\mathrm{ind}_r(k,\ell) \leq \mathrm{ind}_{\leq r}(k,\ell) \leq \frac{k}{k-r\ell} \cdot \frac{1}{e}$, wh
73	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Shows $K \leq 3.9602$ (Theorem 6) via a probabilistic coloring with deterministic alteration; also shows that every digraph $D$ with $\delta^+(D) \geq C(1/\varepsilon)^2 \ln(2/\varepsilon)$ has a frac
73	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Proves the conjecture for digraphs with chromatic number at most 6 or dichromatic number at most 3; proves the stronger majority 3-choosability for digraphs with $\Delta^+(D) \leq 4$ or $\Delta(D) \le
72	scott,seymour	2110.00278	Conjecture 1.3	2110.00278	2305.15585	2023	Disproves the conjecture for all $k\geqslant 3$ by constructing $G$ and $T$ such that the out-neighbourhood of any set of at most $\frac{\log|V(T)|}{2\chi^2}$ vertices is bipartite.
72	sintiari,trotignon	2001.01607	Maximum Independent Set complexity for H-free graphs when H 	2001.01607	2203.06775	2022	Proves Theorem 1.4, that for all $t > 0$ there exists $d_t \geq 0$ such that every (even hole, diamond, pyramid, $K_t$)-free graph has treewidth at most $d_t$, which is a special case of Conjecture 1.
72	alon	1812.09752	Open question: exact value of $HG(K_{n,n})$	1812.09752	2409.01513	2024	Proves that every bipartite graph $G$ of sufficiently large maximum degree $\Delta$ satisfies $\operatorname{ch}(G)<(\frac{4}{5}-\varepsilon)\frac{\Delta}{\log\Delta}$ for $\varepsilon=10^{-3}$, givin
71	alon,wei	2108.02685	Conjecture 1.2	2108.02685	2207.13651	2022	The paper does not resolve Conjecture 1.1; it confirms the weaker asymptotic version (Conjecture 1.2) for $d = o(n/(\log n)^{12})$ via the irregular random subgraph model.
71	fox	1810.00058	Conjecture 3.4	1810.00058	2403.08303	2024	Proves that the polynomial Rödl conjecture is equivalent to the Erdős-Hajnal conjecture; as a corollary deduces that the family of string graphs satisfies the polynomial Rödl conjecture.
71	dvorak	1812.07327	Problem 8	1812.07327	2007.11853	2021	Proves that for every polynomial $p$ and integer $a \geq 0$ there exists a polynomial $q$ such that $G$ has a balanced separator which is $(\rho/t)$-cheap with $\exp(q(t))\log^{(a)} n$ outliers (Theor
71	seymour	1705.04609	Conjecture 1.8	1705.04609	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
70	fox,suk	2404.02021	Informal conjecture on tripartite off-diagonal Ramsey number	2404.02021	2312.15572	2025	Fully confirms the conjecture, proving that every graph $G$ of VC-dimension at most $d$ contains a clique or stable set of size at least $|G|^{c_d}$ for an explicit $c_d>0$ satisfying $c_d \geq 2^{-2^
70	chudnovsky,spirkl	2202.09118	Question (are all graphs self-isolating?)	2202.09118	2311.05719	2023	Proves the conjecture in full (Theorem 1.1): every clock-free graph of large treewidth contains, as an induced subgraph, one of the basic obstructions — a complete graph, a subdivision of a wall, or t
70	chudnovsky,spirkl	2202.09118	Question (are all graphs self-isolating?)	2202.09118	2311.05719	2023	Proves the conjecture in full (Theorem 1.1): every clock-free graph of large treewidth contains, as an induced subgraph, one of the basic obstructions — a complete graph, a subdivision of a wall, or t
70	chudnovsky,spirkl	2202.09118	Question (are all graphs self-isolating?)	2202.09118	2311.05719	2023	Proves the conjecture in full (Theorem 1.1): every clock-free graph of large treewidth contains, as an induced subgraph, one of the basic obstructions — a complete graph, a subdivision of a wall, or t
70	fox	2108.00987	Conjecture 4	2108.00987	2105.03956	2022	Proves this conjecture in full; specifically establishes (1.6) that for all $c > 0$ and sufficiently large $n$, every $n$-vertex perfect graph $G$ admits a pure pair $A, B$ with $|A|, |B| \geq n^{1-c}
70	alon,wei	2108.02685	Conjecture 1.2	2108.02685	2207.13651	2022	Confirms Conjecture 1.2 for all $d = o(n/(\log n)^{12})$ by proving (Theorem 1.3) that the irregular random subgraph $H = H(G)$ satisfies $m(H,k) = (1+o(1))n/(d+1)$ for all $0 \leq k \leq d$ with high
70	devos	1806.00825	Conjecture 12	1806.00825	2101.04716	2021	Proves Conjecture 1.2 in the case where every color class has size at least $301k \log k$, i.e., when the color class size is $\Omega(k \log k)$.
70	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.09888	2020	The paper fully resolves the conjecture: Theorem 7 proves $\mathrm{mader}_{\vec{\chi}}(F)=v(F)$ for every octus digraph $F$, and Corollary 8 specialises this to every orientation of a cactus graph, wh
70	aboulker,charbit	1605.07411	Conjecture 5	1605.07411	2103.07886	2022	Proves the first open special case $F = S_2^+$, $H = C_3$: every locally out-transitive oriented graph has dichromatic number at most 2 (Theorem 3.2), and in fact proves the stronger Theorem 3.3 used 
69	seymour	2508.14332	Open case: Coarse Menger Conjecture for c=2	2508.14332	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
69	seymour	2110.00278	Conjecture 1.3	2110.00278	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
69	fox	1810.00058	Conjecture 3.4	1810.00058	2301.10147	2024	The paper takes a different approach via blockades and leaves this conjecture open, proving the same conclusion (Theorem 1.3) by other means without establishing the conjecture.
69	fox	1810.00058	Conjecture 3.4	1810.00058	2307.06455	2026	The paper's results establishing the Erdős-Hajnal property for new (infinitely many prime) graph classes implicitly verify Conjecture 1.7 for those classes, via the equivalence proved by Bucić, Fox, a
69	trotignon	2008.05504	Conjecture 3	2008.05504	2507.06169	2025	Provides a second, simpler counterexample to Conjecture 1.5 that additionally has arbitrarily large girth and does not contain all trees as induced subgraphs; the proof establishes a slightly stronger
69	scott,seymour	1804.01060	Conjecture 2.4	1804.01060	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
69	fox	1912.02342	Conjecture 4.1	1912.02342	2403.08303	2024	Proves that the polynomial Nikiforov conjecture is equivalent to the Erdős-Hajnal conjecture, establishing all three conjectures as mutually equivalent.
69	thomasse	1702.01607	Problem 4	1702.01607	2310.04265	2023	The paper notes that proving $S_k$ is a rebel for every $k$ would imply Conjecture 5.3, thereby connecting this conjecture to the clique-number framework developed in the paper.
69	aboulker	1610.00876	Problem 16	1610.00876	2202.01006	2022	Paper recalls the conjecture as broader context without making direct progress on it.
69	seymour	1608.03040	Open Problem 8	1608.03040	2310.04265	2023	The paper notes that proving $S_k$ is a rebel for every $k$ would imply Conjecture 5.3, thereby connecting this conjecture to the clique-number framework developed in the paper.
68	seymour	2509.07174	Conjecture 1.2 (Coarse Menger conjecture for surfaces)	2509.07174	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
68	fox	1810.00058	Conjecture 3.4	1810.00058	2307.00801	2024	Proves the conjecture for $H=P_4$ with the optimal $\delta=\varepsilon$ (and a stronger maximum-degree bound), and more generally for all graphs $H$ obtainable by vertex-substitution from copies of $P
68	fox	1810.00058	Conjecture 3.4	1810.00058	2403.08303	2024	Proves that the polynomial Rödl conjecture is equivalent to the Erdős-Hajnal conjecture; as a corollary deduces that the family of string graphs satisfies the polynomial Rödl conjecture.
68	fox	1912.02342	Conjecture 4.1	1912.02342	2403.08303	2024	Proves that the polynomial Rödl conjecture is equivalent to the Erdős-Hajnal conjecture; as a corollary deduces that the family of string graphs satisfies the polynomial Rödl conjecture.
68	harutyunyan,le,thomasse,wu	1702.01607	Problem 4	1702.01607	2310.04265	2023	The paper introduces Conjecture 5.3 (large dom implies an $\operatorname{\overrightarrow{\omega}}$-cluster) as an intermediate conjecture between Theorem 5.1 and Conjecture 5.2, and establishes implic
68	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.13224	2020	Improves the upper bound to $\mathrm{mader}_{\delta^+}(C(k_1,k_2)) \leq k_1 + 3k_2 - 5$ for $k_1 \geq k_2 \geq 2$ (Theorem 8); shows the bound is sharp for $k_2=2$, giving $\mathrm{mader}_{\delta^+}(C
67	scott	2307.08361	Polynomial bound in k for C4-free subgraphs	2307.08361	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
67	pach	2103.10497	Conjecture 1.1	2103.10497	2009.09426	2023	No progress is made on this conjecture in the paper; it is highlighted as an important open problem that goes beyond the main results.
67	fox	1810.00058	Conjecture 3.4	1810.00058	2307.06455	2026	The paper's results establishing the Erdős-Hajnal property for new (infinitely many prime) graph classes implicitly verify Conjecture 1.7 for those classes, via the equivalence proved by Bucić, Fox, a
67	sintiari,trotignon	2001.01607	Maximum Independent Set complexity for H-free graphs when H 	2001.01607	2203.06775	2022	Proves Theorem 1.4, that for all $t > 0$ there exists $d_t \geq 0$ such that every (even hole, diamond, pyramid, $K_t$)-free graph has treewidth at most $d_t$, which is a special case of Conjecture 1.
67	dvorak	1812.07327	Problem 8	1812.07327	2007.11853	2021	Proves that for every polynomial $p$ and integer $a \geq 0$ there exists a polynomial $q$ such that $G$ has a balanced separator which is $(\rho/t)$-cheap with $\exp(q(t))\log^{(a)} n$ outliers (Theor
67	scott,seymour	1701.05597	Open Question: first pervasiveness characterisation	1701.05597	2306.02364	2024	Proves two partial results in its favour: Theorem 1.3 establishes the case where $A$ is a cyclic triangle (and $\chi(B)\geq c$), and Theorem 1.4 establishes the conjecture for all tournaments with suf
67	scott,seymour	1705.04609	Conjecture 1.8	1705.04609	2306.02364	2024	Proves two partial results in its favour: Theorem 1.3 establishes the case where $A$ is a cyclic triangle (and $\chi(B)\geq c$), and Theorem 1.4 establishes the conjecture for all tournaments with suf
67	scott,seymour	1708.02370	Conjecture 4	1708.02370	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
67	aboulker	1710.06282	Conjecture 1.4	1710.06282	2108.01162	2023	Proves three theorems supporting the conjecture: (1) every $S_{t,t,t}$-free graph of maximum degree at most $\Delta$ and sufficiently large treewidth contains the line graph of a subdivision of $W_{k\
67	fox	1803.03588	Polynomial dependence of $\delta$ on $d$ in Rödl's theorem	1803.03588	2301.10147	2024	Improves the exponent to $\delta = 2^{-c(\log(1/x))^2/\log\log(1/x)}$ via Theorem 1.8, a loglog improvement over the Fox–Sudakov bound, but does not achieve the conjectured polynomial bound.
67	scott,seymour	1509.06563	Informal Question (on 2.1 for ℓ = 4)	1509.06563	2306.02364	2024	Proves two partial results in its favour: Theorem 1.3 establishes the case where $A$ is a cyclic triangle (and $\chi(B)\geq c$), and Theorem 1.4 establishes the conjecture for all tournaments with suf
66	scott,seymour	2201.04062	Open question on Theorem 3.3 with stronger coherence	2201.04062	2306.02364	2024	Proves two partial results in its favour: Theorem 1.3 establishes the case where $A$ is a cyclic triangle (and $\chi(B)\geq c$), and Theorem 1.4 establishes the conjecture for all tournaments with suf
66	scott,seymour	2110.00278	Conjecture 1.3	2110.00278	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
66	aboulker,charbit,naserasr	2009.13319	Research direction: minimal heroic tournament families	2009.13319	2103.07886	2022	Proves the first open special case $F = S_2^+$, $H = C_3$: every locally out-transitive oriented graph has dichromatic number at most 2 (Theorem 3.2), and in fact proves the stronger Theorem 3.3 used 
66	le	1701.03366	Antisymmetric variant of Jaeger's weak 3-flow conjecture	1701.03366	2206.00594	2024	Theorem 1.1 of this paper (logarithmic feedback vertex set for sparse $\mathcal{O}_k$-free graphs) was the key tool used by Nguyen, Scott, and Seymour [NSS24] to resolve this conjecture in the more ge
65	fox	2403.08303	Conjecture 10	2403.08303	2307.06455	2026	The paper's results establishing the Erdős-Hajnal property for new (infinitely many prime) graph classes implicitly verify Conjecture 1.7 for those classes, via the equivalence proved by Bucić, Fox, a
65	fox	2402.08418	Conjecture 1.12	2402.08418	2312.15333	2026	Proves that Conjecture 1.4 holds for $H = P_5$ (Theorem 1.5), which in particular implies the Erdős-Hajnal conjecture for $P_5$.
65	scott	2305.13422	Conjecture 1.7	2305.13422	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
65	scott,seymour	2202.05557	Question: Polynomial bound analogue of Esperet's conjecture 	2202.05557	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
65	fox	2210.16971	Equivalence of asymmetric and classical Sidorenko properties	2210.16971	2312.15333	2026	Proves that Conjecture 1.4 holds for $H = P_5$ (Theorem 1.5), which in particular implies the Erdős-Hajnal conjecture for $P_5$.
65	fox	2210.16971	Equivalence of asymmetric and classical Sidorenko properties	2210.16971	2312.15333	2026	Proves that Conjecture 1.4 holds for $H = P_5$ (Theorem 1.5), which in particular implies the Erdős-Hajnal conjecture for $P_5$.
65	fox	2102.10220	Open problem on $m(n,k)$ for fixed $k \geq 2$	2102.10220	2105.03956	2022	Proves this conjecture in full; specifically establishes (1.6) that for all $c > 0$ and sufficiently large $n$, every $n$-vertex perfect graph $G$ admits a pure pair $A, B$ with $|A|, |B| \geq n^{1-c}
65	fox	1810.00058	Conjecture 3.4	1810.00058	2307.00801	2024	Proves the conjecture for $H=P_4$ with the optimal $\delta=\varepsilon$ (and a stronger maximum-degree bound), and more generally for all graphs $H$ obtainable by vertex-substitution from copies of $P
65	aboulker,charbit,naserasr	2009.13319	Research direction: minimal heroic tournament families	2009.13319	2212.02272	2023	Proves the conjecture for the special case of $\overrightarrow{P}_6$-free digraphs with $\omega(D) \leq 2$ (triangle-free), establishing $\overrightarrow{\chi}(D) \leq 382$ (Theorem 1.3).
65	fox	1912.02342	Conjecture 4.1	1912.02342	2307.06455	2026	The paper's results establishing the Erdős-Hajnal property for new (infinitely many prime) graph classes implicitly verify Conjecture 1.7 for those classes, via the equivalence proved by Bucić, Fox, a
65	scott,seymour	1701.05597	Open Question: first pervasiveness characterisation	1701.05597	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
65	wu	1808.01605	Conjecture 6	1808.01605	2411.16465	2024	Affirmatively solves the problem by constructing graphs with bounded Hall ratio, arbitrarily large fractional chromatic number, and $\alpha_{\mathrm{deg}_H}(H)\geq |E(H)|/c$ for all subgraphs $H$ (The
65	joret	1710.06282	Conjecture 1.4	1710.06282	2404.05992	2024	Shows this problem is equivalent to Problem 1.2 (Gyárfás's question on $\chi$-boundedness of $\mathcal{C}\overset{\mathfrak{g}}{\cap}\mathcal{C}$), and notes that Felsner et al. answered it in the neg
